"filename", "language", "Properties", "Dart", "JSON", "YAML", "Markdown", "Django HTML", "Swift", "C++", "XML", "Java", "JavaScript", "comment", "blank", "total"
"d:\Projects\rental_system\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Projects\rental_system\android\.gradle\6.3\gc.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system\android\.gradle\buildOutputCleanup\cache.properties", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\Projects\rental_system\android\.gradle\vcs-1\gc.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 4, 30
"d:\Projects\rental_system\android\local.properties", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\rental_system\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Projects\rental_system\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Projects\rental_system\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Projects\rental_system\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Projects\rental_system\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\Projects\rental_system\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Projects\rental_system\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\Projects\rental_system\lib\base\cabin_model.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Projects\rental_system\lib\base\error.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 61
